task,zero-shot,knowledge,RAG,fine-tune-zero-shot,fine-tune-knowledge,fine-tune-RAG
hayati_politeness,0.8125,0.84375,0.65625,,,
contextual-abuse#PersonDirectedAbuse,0.2572490706319703,0.5434944237918216,0.2178438661710037,,,
implicit-hate#explicit_hate,0.483,0.307,0.135,,,
complaints,0.7478260869565218,0.7101449275362319,0.6376811594202898,,,
hypo-l,0.4055727554179567,0.4086687306501548,0.43343653250773995,,,
contextual-abuse#IdentityDirectedAbuse,0.6758364312267658,0.5732342007434944,0.20520446096654274,,,
offensiveyn,,0.586,0.5185,,,
empathy#distress_bin,0.46774193548387094,0.45698924731182794,0.5591397849462365,,,
hasbiasedimplication,0.4585,0.481,0.473,,,
rumor#rumor_bool,0.6267605633802817,0.6549295774647887,0.5845070422535211,,,
stanfordpoliteness,0.5731922398589065,0.5961199294532628,0.4708994708994709,,,
questionintimacy,0.25333333333333335,0.18666666666666668,0.08444444444444445,,,
hahackathon#is_humor,0.501,0.587,0.326,,,
hateoffensive,0.5840637450199203,0.5338645418326693,0.7569721115537849,,,
intentyn,0.287,0.3425,0.4215,,,
dailydialog,0.2985,0.6685,0.085,,,
tweet_emotion,0.724841660802252,0.7515833919774807,0.6671358198451794,,,
crowdflower,0.214,0.238,0.2705,,,
sarc,0.5355,0.5475,0.292,,,
tweet_irony,0.45153061224489793,0.548469387755102,0.25637755102040816,,,
tweet_offensive,0.6872093023255814,0.5546511627906977,0.5430232558139535,,,
implicit-hate#implicit_hate,0.461,0.343,0.1695,,,
implicit-hate#stereotypical_hate,0.2505,0.173,0.555,,,
two-to-lie#receiver_truth,0.7399829497016198,0.5072463768115942,0.6155157715260017,,,
