,hlab/SocialiteLlama_predictions_zero-shot.json,meta-llama/Llama-2-7b-chat-hf_predictions_zero-shot.json,meta-llama/Llama-2-7b-chat-hf_predictions_knowledge.json,meta-llama/Llama-2-7b-chat-hf_predictions_RAG.json,AndersGiovanni/social-llama-7b-beta_predictions_zero-shot.json,AndersGiovanni/social-llama-7b-instructions_predictions_zero-shot.json,meta-llama/Meta-Llama-3-8B-Instruct_predictions_zero-shot.json,meta-llama/Meta-Llama-3-8B-Instruct_predictions_knowledge.json,meta-llama/Meta-Llama-3-8B-Instruct_predictions_RAG.json,AndersGiovanni/social-llama-3-8b-beta_predictions_zero-shot.json,AndersGiovanni/social-llama-3-8b-instructions_predictions_zero-shot.json
hahackathon#is_humor,0.073,0.459,0.56,0.462,0.564,0.548,0.765,0.864,0.636,0.904,0.933
sarc,0.247,0.4,0.4915,0.451,0.4745,0.216,0.5105,0.5905,0.5335,0.4985,0.6275
tweet_irony,0.1607142857142857,0.3125,0.4974489795918367,0.3660714285714285,0.4642857142857143,0.6377551020408163,0.5395408163265306,0.6632653061224489,0.5510204081632653,0.889030612244898,0.7882653061224489
contextual-abuse#PersonDirectedAbuse,0.1791821561338289,0.1026022304832713,0.4795539033457249,0.1821561338289963,0.1048327137546468,0.0520446096654275,0.670631970260223,0.6550185873605948,0.4602230483271375,0.9925650557620818,0.9784386617100372
implicit-hate#explicit_hate,0.2105,0.0895,0.1415,0.1255,0.1385,0.799,0.6645,0.517,0.447,0.9505,0.9465
contextual-abuse#IdentityDirectedAbuse,0.1635687732342007,0.0758364312267658,0.5152416356877323,0.2550185873605948,0.1018587360594795,0.0014869888475836,0.7078066914498141,0.7576208178438661,0.5159851301115241,0.9843866171003718,0.9732342007434944
hasbiasedimplication,0.212,0.2445,0.4255,0.5735,0.39,0.767,0.463,0.4985,0.432,0.577,0.8325
hateoffensive,0.1354581673306772,0.502788844621514,0.3258964143426295,0.6254980079681275,0.5482071713147411,0.7760956175298804,0.4884462151394422,0.4239043824701195,0.4398406374501992,0.8382470119521912,0.8414342629482072
intentyn,0.295,0.0895,0.157,0.4625,0.251,0.595,0.5655,0.289,0.261,0.7185,0.7405
tweet_offensive,0.1732558139534883,0.4116279069767442,0.5767441860465117,0.7232558139534884,0.5337209302325582,0.5058139534883721,0.6930232558139535,0.7023255813953488,0.6976744186046512,0.8220930232558139,0.6883720930232559
implicit-hate#implicit_hate,0.2035,0.0845,0.202,0.108,0.2675,0.4655,0.589,0.4935,0.45,0.762,0.737
implicit-hate#stereotypical_hate,0.2935,0.0465,0.1635,0.7245,0.15,0.7685,0.3285,0.4985,0.378,0.953,0.929
empathy#distress_bin,0.0967741935483871,0.0483870967741935,0.5645161290322581,0.553763440860215,0.1720430107526881,0.4946236559139785,0.2849462365591398,0.5967741935483871,0.6666666666666666,0.6021505376344086,0.5
dailydialog,0.054,0.167,0.5605,0.1065,0.1535,0.7815,0.382,0.3355,0.109,0.8365,0.655
tweet_emotion,0.1154116819141449,0.4496833216045038,0.6228008444757214,0.6798029556650246,0.4975369458128079,0.3194933145672062,0.724841660802252,0.7755102040816326,0.7705840957072484,0.7213230119634061,0.7501759324419423
crowdflower,0.0275,0.2145,0.2875,0.224,0.235,0.1535,0.179,0.2425,0.282,0.286,0.3525
hayati_politeness,0.125,0.28125,0.4375,0.6875,0.375,0.25,0.84375,0.65625,0.65625,0.84375,0.6875
complaints,0.1304347826086956,0.4376811594202898,0.6492753623188405,0.7797101449275362,0.5623188405797102,0.5594202898550724,0.8057971014492754,0.8782608695652174,0.808695652173913,0.8724637681159421,0.8173913043478261
stanfordpoliteness,0.2081128747795414,0.5502645502645502,0.6208112874779541,0.6649029982363316,0.582010582010582,0.4391534391534391,0.6402116402116402,0.6437389770723104,0.6208112874779541,0.5485008818342152,0.5502645502645502
questionintimacy,0.1333333333333333,0.1555555555555555,0.2222222222222222,0.2044444444444444,0.2266666666666666,0.1822222222222222,0.2,0.2044444444444444,0.2,0.3511111111111111,0.3466666666666667
hypo-l,0.3250773993808049,0.2693498452012384,0.4024767801857585,0.5572755417956656,0.3498452012383901,0.6718266253869969,0.6656346749226006,0.6934984520123839,0.5356037151702786,0.7120743034055728,0.7213622291021672
rumor#rumor_bool,0.4436619718309859,0.2816901408450704,0.6056338028169014,0.8873239436619719,0.4577464788732394,0.5915492957746479,0.5140845070422535,0.5422535211267606,0.5492957746478874,0.647887323943662,0.6690140845070423
two-to-lie#receiver_truth,0.062233589087809,0.4901960784313725,0.4305200341005967,0.8994032395566922,0.5490196078431373,0.4492753623188406,0.3657289002557545,0.6129582267689685,0.6820119352088662,0.9437340153452686,0.9326513213981245
