task,zero-shot,knowledge,RAG,fine-tune-zero-shot,fine-tune-knowledge,sociallite-instrucitons-zero-shot,reverse-instructions
hayati_politeness,0.0625,0.4375,0.6875,0.125,0.4375,0.125,0.25
contextual-abuse#PersonDirectedAbuse,0.060966542750929366,0.4795539033457249,0.1821561338289963,0.0022304832713754648,0.5427509293680297,0.17918215613382898,0.05204460966542751
implicit-hate#explicit_hate,0.067,0.1415,0.1255,0.7655,0.22,0.2105,0.799
complaints,0.10144927536231885,0.6492753623188405,0.7797101449275362,0.4144927536231884,0.744927536231884,0.13043478260869565,0.5594202898550724
hypo-l,0.10526315789473684,0.4024767801857585,0.5572755417956656,0.3653250773993808,0.4179566563467492,0.32507739938080493,0.6718266253869969
contextual-abuse#IdentityDirectedAbuse,0.0550185873605948,0.5152416356877323,0.2550185873605948,0.0,0.5962825278810409,0.16356877323420074,0.001486988847583643
empathy#distress_bin,0.016129032258064516,0.5645161290322581,0.553763440860215,0.15053763440860216,0.5376344086021505,0.0967741935483871,0.4946236559139785
hasbiasedimplication,0.096,0.4255,0.5735,0.6555,0.4985,0.212,0.767
rumor#rumor_bool,0.18309859154929578,0.6056338028169014,0.8873239436619719,0.5,0.6408450704225352,0.44366197183098594,0.5915492957746479
stanfordpoliteness,0.14638447971781304,0.6208112874779541,0.6649029982363316,0.3844797178130511,0.6261022927689595,0.20811287477954143,0.43915343915343913
questionintimacy,0.04888888888888889,0.2222222222222222,0.20444444444444446,0.20444444444444446,0.2088888888888889,0.13333333333333333,0.18222222222222223
hahackathon#is_humor,0.064,0.56,0.462,0.292,0.627,0.073,0.548
hateoffensive,0.06613545816733067,0.3258964143426295,0.6254980079681275,0.7386454183266933,0.3043824701195219,0.13545816733067728,0.7760956175298804
intentyn,0.088,0.157,0.4625,0.358,0.192,0.295,0.595
dailydialog,0.111,0.5605,0.1065,0.8025,0.579,0.054,0.7815
tweet_emotion,0.06544686840253343,0.6228008444757214,0.6798029556650246,0.29345531315974666,0.6579873328641802,0.11541168191414497,0.3194933145672062
crowdflower,0.0175,0.2875,0.224,0.143,0.297,0.0275,0.1535
sarc,0.1485,0.4915,0.451,0.2015,0.513,0.247,0.216
tweet_irony,0.10204081632653061,0.49744897959183676,0.36607142857142855,0.3788265306122449,0.6173469387755102,0.16071428571428573,0.6377551020408163
tweet_offensive,0.09069767441860466,0.5767441860465117,0.7232558139534884,0.363953488372093,0.6430232558139535,0.17325581395348838,0.5058139534883721
implicit-hate#implicit_hate,0.063,0.202,0.108,0.2025,0.3445,0.2035,0.4655
implicit-hate#stereotypical_hate,0.0755,0.1635,0.7245,0.677,0.263,0.2935,0.7685
two-to-lie#receiver_truth,0.08354646206308611,0.43052003410059675,0.8994032395566922,0.0937766410912191,0.5413469735720375,0.06223358908780904,0.4492753623188406
